DECIMAL,HEXADECIMAL,DESCRIPTION
3228,3228,"MIPS instructions, function epilogue"
3352,3352,"MIPS instructions, function epilogue"
3508,3508,"MIPS instructions, function epilogue"
3668,3668,"MIPS instructions, function epilogue"
9424,9424,"MIPS instructions, function epilogue"
10308,10308,"MIPS instructions, function epilogue"
11392,11392,"MIPS instructions, function epilogue"
12700,12700,"MIPS instructions, function epilogue"
13108,13108,"MIPS instructions, function epilogue"
13364,13364,"MIPS instructions, function epilogue"
15652,15652,"MIPS instructions, function epilogue"
17472,17472,"MIPS instructions, function epilogue"
19516,19516,"MIPS instructions, function epilogue"
21832,21832,"MIPS instructions, function epilogue"
22228,22228,"MIPS instructions, function epilogue"
22372,22372,"MIPS instructions, function epilogue"
22612,22612,"MIPS instructions, function epilogue"
33384,33384,"MIPS instructions, function epilogue"
201993,201993,"ARM instructions, function prologue"
203941,203941,"ARM instructions, function prologue"
204285,204285,"ARM instructions, function prologue"
435135,435135,"ARM instructions, function prologue"
435727,435727,"ARM instructions, function prologue"
456344,456344,"MIPS instructions, function epilogue"
456408,456408,"MIPS instructions, function epilogue"
456604,456604,"MIPS instructions, function epilogue"
456868,456868,"MIPS instructions, function epilogue"
457192,457192,"MIPS instructions, function epilogue"
457508,457508,"MIPS instructions, function epilogue"
457640,457640,"MIPS instructions, function epilogue"
458112,458112,"MIPS instructions, function epilogue"
458220,458220,"MIPS instructions, function epilogue"
458460,458460,"MIPS instructions, function epilogue"
458520,458520,"MIPS instructions, function epilogue"
458628,458628,"MIPS instructions, function epilogue"
459072,459072,"MIPS instructions, function epilogue"
459400,459400,"MIPS instructions, function epilogue"
459508,459508,"MIPS instructions, function epilogue"
460584,460584,"MIPS instructions, function epilogue"
460808,460808,"MIPS instructions, function epilogue"
461132,461132,"MIPS instructions, function epilogue"
461496,461496,"MIPS instructions, function epilogue"
461856,461856,"MIPS instructions, function epilogue"
461968,461968,"MIPS instructions, function epilogue"
462308,462308,"MIPS instructions, function epilogue"
462520,462520,"MIPS instructions, function epilogue"
462700,462700,"MIPS instructions, function epilogue"
464988,464988,"MIPS instructions, function epilogue"
467136,467136,"MIPS instructions, function epilogue"
468084,468084,"MIPS instructions, function epilogue"
468608,468608,"MIPS instructions, function epilogue"
468924,468924,"MIPS instructions, function epilogue"
469672,469672,"MIPS instructions, function epilogue"
469912,469912,"MIPS instructions, function epilogue"
470416,470416,"MIPS instructions, function epilogue"
472104,472104,"MIPS instructions, function epilogue"
472348,472348,"MIPS instructions, function epilogue"
472552,472552,"MIPS instructions, function epilogue"
473748,473748,"MIPS instructions, function epilogue"
473860,473860,"MIPS instructions, function epilogue"
473984,473984,"MIPS instructions, function epilogue"
474336,474336,"MIPS instructions, function epilogue"
474376,474376,"MIPS instructions, function epilogue"
475280,475280,"MIPS instructions, function epilogue"
475756,475756,"MIPS instructions, function epilogue"
476524,476524,"MIPS instructions, function epilogue"
477072,477072,"MIPS instructions, function epilogue"
478728,478728,"MIPS instructions, function epilogue"
478868,478868,"MIPS instructions, function epilogue"
478980,478980,"MIPS instructions, function epilogue"
479136,479136,"MIPS instructions, function epilogue"
479256,479256,"MIPS instructions, function epilogue"
479404,479404,"MIPS instructions, function epilogue"
480872,480872,"MIPS instructions, function epilogue"
482676,482676,"MIPS instructions, function epilogue"
482824,482824,"MIPS instructions, function epilogue"
483204,483204,"MIPS instructions, function epilogue"
483352,483352,"MIPS instructions, function epilogue"
483576,483576,"MIPS instructions, function epilogue"
485728,485728,"MIPS instructions, function epilogue"
486956,486956,"MIPS instructions, function epilogue"
487032,487032,"MIPS instructions, function epilogue"
487204,487204,"MIPS instructions, function epilogue"
487780,487780,"MIPS instructions, function epilogue"
488360,488360,"MIPS instructions, function epilogue"
488584,488584,"MIPS instructions, function epilogue"
488748,488748,"MIPS instructions, function epilogue"
489028,489028,"MIPS instructions, function epilogue"
489816,489816,"MIPS instructions, function epilogue"
490336,490336,"MIPS instructions, function epilogue"
490540,490540,"MIPS instructions, function epilogue"
490632,490632,"MIPS instructions, function epilogue"
490796,490796,"MIPS instructions, function epilogue"
490976,490976,"MIPS instructions, function epilogue"
491104,491104,"MIPS instructions, function epilogue"
491528,491528,"MIPS instructions, function epilogue"
492172,492172,"MIPS instructions, function epilogue"
492340,492340,"MIPS instructions, function epilogue"
493280,493280,"MIPS instructions, function epilogue"
493644,493644,"MIPS instructions, function epilogue"
494316,494316,"MIPS instructions, function epilogue"
494408,494408,"MIPS instructions, function epilogue"
495512,495512,"MIPS instructions, function epilogue"
495684,495684,"MIPS instructions, function epilogue"
495936,495936,"MIPS instructions, function epilogue"
496028,496028,"MIPS instructions, function epilogue"
496256,496256,"MIPS instructions, function epilogue"
496348,496348,"MIPS instructions, function epilogue"
496540,496540,"MIPS instructions, function epilogue"
496732,496732,"MIPS instructions, function epilogue"
497584,497584,"MIPS instructions, function epilogue"
